symbol,isin,source
GRASIM,INE047A01021,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
GVT&D,INE200A01026,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
HAL,INE066F01020,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
HAVELLS,INE176B01034,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
HCLTECH,INE860A01027,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
HDFCAMC,INE127D01025,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
HDFCBANK,INE040A01034,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
HDFCLIFE,INE795G01014,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
HEROMOTOCO,INE158A01026,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
HINDALCO,INE038A01020,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
HINDPETRO,INE094A01015,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
HINDUNILVR,INE030A01027,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
HINDZINC,INE267A01025,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
HYUNDAI,INE0V6F01027,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
ICICIBANK,INE090A01021,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
ICICIGI,INE765G01017,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
ICICIPRULI,INE726G01019,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
IDEA,INE669E01016,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
IDFCFIRSTB,INE092T01019,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
IEX,INE022Q01020,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
INDHOTEL,INE053A01029,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
INDIANB,INE562A01011,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
INDIGO,INE646L01027,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
INDUSINDBK,INE095A01012,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
INDUSTOWER,INE121J01017,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
INFY,INE009A01021,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
INOXWIND,INE066P01011,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
IOC,INE242A01010,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
IREDA,INE202E01016,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
IRFC,INE053F01010,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
ITC,INE154A01025,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
JINDALSTEL,INE749A01030,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
JIOFIN,INE758E01017,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
JSWENERGY,INE121E01018,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
JSWSTEEL,INE019A01038,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
JUBLFOOD,INE797F01020,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
KALYANKJIL,INE303R01014,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
KAYNES,INE918Z01012,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
KEI,INE878B01027,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
KFINTECH,INE138Y01010,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
KOTAKBANK,INE237A01036,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
KPITTECH,INE04I401011,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
LAURUSLABS,INE947Q01028,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
LICHSGFIN,INE115A01026,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
LICI,INE0J1Y01017,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
LODHA,INE670K01029,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
LT,INE018A01030,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
LTF,INE498L01015,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
LTM,INE214T01019,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
LUPIN,INE326A01037,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
M&M,INE101A01026,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
MANAPPURAM,INE522D01027,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
MANKIND,INE634S01028,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
MARICO,INE196A01026,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
MARUTI,INE585B01010,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
MAXHEALTH,INE027H01010,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
MAZDOCK,INE249Z01020,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
MCX,INE745G01043,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
MFSL,INE180A01020,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
MOTHERSON,INE775A01035,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
MOTILALOFS,INE338I01027,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
MPHASIS,INE356A01018,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
MUTHOOTFIN,INE414G01012,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
NAM-INDIA,INE298J01013,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
NATIONALUM,INE139A01034,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
NAUKRI,INE663F01032,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
NBCC,INE095N01031,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
NESTLEIND,INE239A01024,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
NHPC,INE848E01016,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
NMDC,INE584A01023,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
NTPC,INE733E01010,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
NYKAA,INE388Y01029,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
OBEROIRLTY,INE093I01010,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
OFSS,INE881D01027,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
OIL,INE274J01014,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
ONGC,INE213A01029,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
PAGEIND,INE761H01022,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
PATANJALI,INE619A01035,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
PAYTM,INE982J01020,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
PERSISTENT,INE262H01021,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
PETRONET,INE347G01014,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
PFC,INE134E01011,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
PGEL,INE457L01029,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
PHOENIXLTD,INE211B01039,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
PIDILITIND,INE318A01026,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
PIIND,INE603J01030,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
PNB,INE160A01022,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
PNBHOUSING,INE572E01012,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
POLICYBZR,INE417T01026,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
