symbol,isin,active,mainboard,series,instrument_type,surveillance,trade_to_trade,suspended,reference_as_of,source
COFORGE,INE591G01025,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/COFORGE_CONSOLIDATED_20260813.html
COLPAL,INE259A01022,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/COLPAL_CONSOLIDATED_20260813.html
CONCOR,INE111A01025,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/CONCOR_CONSOLIDATED_20260813.html
CUMMINSIND,INE298A01020,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/CUMMINSIND_CONSOLIDATED_20260813.html
DABUR,INE016A01026,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/DABUR_CONSOLIDATED_20260813.html
DALBHARAT,INE00R701025,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/DALBHARAT_CONSOLIDATED_20260813.html
DEEPAKNTR,INE288B01029,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/DEEPAKNTR_CONSOLIDATED_20260813.html
DELHIVERY,INE148O01028,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/DELHIVERY_CONSOLIDATED_20260813.html
DIVISLAB,INE361B01024,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/DIVISLAB_CONSOLIDATED_20260813.html
DIXON,INE935N01020,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/DIXON_CONSOLIDATED_20260813.html
DLF,INE271C01023,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/DLF_CONSOLIDATED_20260813.html
DMART,INE192R01011,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/DMART_CONSOLIDATED_20260813.html
DRREDDY,INE089A01031,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/DRREDDY_CONSOLIDATED_20260813.html
EICHERMOT,INE066A01021,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/EICHERMOT_CONSOLIDATED_20260813.html
ESCORTS,INE042A01014,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/ESCORTS_CONSOLIDATED_20260813.html
ETERNAL,INE758T01015,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/ETERNAL_CONSOLIDATED_20260813.html
FEDERALBNK,INE171A01029,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/FEDERALBNK_CONSOLIDATED_20260813.html
FORTIS,INE061F01013,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/FORTIS_CONSOLIDATED_20260813.html
GAIL,INE129A01019,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/GAIL_CONSOLIDATED_20260813.html
GLAND,INE068V01023,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/GLAND_CONSOLIDATED_20260813.html
GMRAIRPORT,INE776C01039,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/GMRAIRPORT_CONSOLIDATED_20260813.html
GODREJCP,INE102D01028,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/GODREJCP_CONSOLIDATED_20260813.html
GODREJPROP,INE484J01027,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/GODREJPROP_CONSOLIDATED_20260813.html
GRASIM,INE047A01021,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/GRASIM_CONSOLIDATED_20260813.html
HAL,INE066F01020,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/HAL_CONSOLIDATED_20260813.html
HAVELLS,INE176B01034,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/HAVELLS_CONSOLIDATED_20260813.html
HCLTECH,INE860A01027,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/HCLTECH_CONSOLIDATED_20260813.html
HDFCAMC,INE127D01025,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/HDFCAMC_CONSOLIDATED_20260813.html
HDFCBANK,INE040A01034,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/HDFCBANK_CONSOLIDATED_20260813.html
HDFCLIFE,INE795G01014,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/HDFCLIFE_CONSOLIDATED_20260813.html
HEROMOTOCO,INE158A01026,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/HEROMOTOCO_CONSOLIDATED_20260813.html
HINDALCO,INE038A01020,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/HINDALCO_CONSOLIDATED_20260813.html
HINDPETRO,INE094A01015,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/HINDPETRO_CONSOLIDATED_20260813.html
HINDUNILVR,INE030A01027,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/HINDUNILVR_CONSOLIDATED_20260813.html
HONAUT,INE671A01010,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/HONAUT_CONSOLIDATED_20260813.html
ICICIBANK,INE090A01021,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/ICICIBANK_CONSOLIDATED_20260813.html
ICICIGI,INE765G01017,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/ICICIGI_CONSOLIDATED_20260813.html
ICICIPRULI,INE726G01019,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/ICICIPRULI_CONSOLIDATED_20260813.html
IDFCFIRSTB,INE092T01019,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/IDFCFIRSTB_CONSOLIDATED_20260813.html
IGL,INE203G01027,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/IGL_CONSOLIDATED_20260813.html
INDHOTEL,INE053A01029,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/INDHOTEL_CONSOLIDATED_20260813.html
INDIGO,INE646L01027,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/INDIGO_CONSOLIDATED_20260813.html
INDUSINDBK,INE095A01012,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/INDUSINDBK_CONSOLIDATED_20260813.html
INDUSTOWER,INE121J01017,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/INDUSTOWER_CONSOLIDATED_20260813.html
INFY,INE009A01021,True,True,EQ,EQUITY,,False,False,2026-08-11,data/fundamentals/raw_html/INFY_CONSOLIDATED_20260811.html
IOC,INE242A01010,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/IOC_CONSOLIDATED_20260813.html
IPCALAB,INE571A01038,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/IPCALAB_CONSOLIDATED_20260813.html
IRFC,INE053F01010,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/IRFC_CONSOLIDATED_20260813.html
ITC,INE154A01025,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/ITC_CONSOLIDATED_20260813.html
JINDALSTEL,INE749A01030,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/JINDALSTEL_CONSOLIDATED_20260813.html
JSL,INE220G01021,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/JSL_CONSOLIDATED_20260813.html
JSWENERGY,INE121E01018,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/JSWENERGY_CONSOLIDATED_20260813.html
JSWSTEEL,INE019A01038,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/JSWSTEEL_CONSOLIDATED_20260813.html
JUBLFOOD,INE797F01020,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/JUBLFOOD_CONSOLIDATED_20260813.html
KOTAKBANK,INE237A01036,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/KOTAKBANK_CONSOLIDATED_20260813.html
LALPATHLAB,INE600L01024,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/LALPATHLAB_CONSOLIDATED_20260813.html
LAURUSLABS,INE947Q01028,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/LAURUSLABS_CONSOLIDATED_20260813.html
LICHSGFIN,INE115A01026,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/LICHSGFIN_CONSOLIDATED_20260813.html
LICI,INE0J1Y01017,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/LICI_CONSOLIDATED_20260813.html
LODHA,INE670K01029,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/LODHA_CONSOLIDATED_20260813.html
LT,INE018A01030,True,True,EQ,EQUITY,,False,False,2026-08-11,data/fundamentals/raw_html/LT_CONSOLIDATED_20260811.html
LTTS,INE010V01017,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/LTTS_CONSOLIDATED_20260813.html
LUPIN,INE326A01037,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/LUPIN_CONSOLIDATED_20260813.html
M&M,INE101A01026,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/M&M_CONSOLIDATED_20260813.html
M&MFIN,INE774D01024,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/M&MFIN_CONSOLIDATED_20260813.html
MANAPPURAM,INE522D01027,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/MANAPPURAM_CONSOLIDATED_20260813.html
MANKIND,INE634S01028,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/MANKIND_CONSOLIDATED_20260813.html
MARICO,INE196A01026,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/MARICO_CONSOLIDATED_20260813.html
MARUTI,INE585B01010,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/MARUTI_CONSOLIDATED_20260813.html
MAXHEALTH,INE027H01010,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/MAXHEALTH_CONSOLIDATED_20260813.html
MFSL,INE180A01020,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/MFSL_CONSOLIDATED_20260813.html
MOTHERSON,INE775A01035,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/MOTHERSON_CONSOLIDATED_20260813.html
MPHASIS,INE356A01018,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/MPHASIS_CONSOLIDATED_20260813.html
MRF,INE883A01011,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/MRF_CONSOLIDATED_20260813.html
NAUKRI,INE663F01032,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/NAUKRI_STANDALONE_OR_DEFAULT_20260813.html
NESTLEIND,INE239A01024,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/NESTLEIND_CONSOLIDATED_20260813.html
NHPC,INE848E01016,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/NHPC_CONSOLIDATED_20260813.html
NMDC,INE584A01023,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/NMDC_CONSOLIDATED_20260813.html
NTPC,INE733E01010,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/NTPC_CONSOLIDATED_20260813.html
OBEROIRLTY,INE093I01010,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/OBEROIRLTY_CONSOLIDATED_20260813.html
OFSS,INE881D01027,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/OFSS_CONSOLIDATED_20260813.html
ONGC,INE213A01029,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/ONGC_CONSOLIDATED_20260813.html
PETRONET,INE347G01014,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/PETRONET_CONSOLIDATED_20260813.html
PFC,INE134E01011,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/PFC_CONSOLIDATED_20260813.html
PIDILITIND,INE318A01026,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/PIDILITIND_CONSOLIDATED_20260813.html
PNB,INE160A01022,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/PNB_CONSOLIDATED_20260813.html
POWERGRID,INE752E01010,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/POWERGRID_CONSOLIDATED_20260813.html
RECLTD,INE020B01018,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/RECLTD_CONSOLIDATED_20260813.html
RELIANCE,INE002A01018,True,True,EQ,EQUITY,,False,False,2026-08-11,data/fundamentals/raw_html/RELIANCE_CONSOLIDATED_20260811.html
SBILIFE,INE123W01016,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/SBILIFE_CONSOLIDATED_20260813.html
SBIN,INE062A01020,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/SBIN_CONSOLIDATED_20260813.html
SHREECEM,INE070A01015,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/SHREECEM_CONSOLIDATED_20260813.html
SIEMENS,INE003A01024,True,True,EQ,EQUITY,,False,False,2026-08-13,data/fundamentals/raw_html/SIEMENS_CONSOLIDATED_20260813.html
SUNPHARMA,INE044A01036,True,True,EQ,EQUITY,,False,False,2026-08-11,data/fundamentals/raw_html/SUNPHARMA_CONSOLIDATED_20260811.html
