Ticker,Company,Sector,MarketCapCategory,Group
KPIL.NS,Kalpataru Projects International Ltd.,Construction,SmallCap,NiftySmallcap250
KARURVYSYA.NS,Karur Vysya Bank Ltd.,Financial Services,SmallCap,NiftySmallcap250
KAYNES.NS,Kaynes Technology India Ltd.,Capital Goods,SmallCap,NiftySmallcap250
KEC.NS,Kec International Ltd.,Construction,SmallCap,NiftySmallcap250
KFINTECH.NS,Kfin Technologies Ltd.,Financial Services,SmallCap,NiftySmallcap250
KIRLOSENG.NS,Kirloskar Oil Eng Ltd.,Capital Goods,SmallCap,NiftySmallcap250
KIMS.NS,Krishna Institute of Medical Sciences Ltd.,Healthcare,SmallCap,NiftySmallcap250
LTFOODS.NS,LT Foods Ltd.,Fast Moving Consumer Goods,SmallCap,NiftySmallcap250
LATENTVIEW.NS,Latent View Analytics Ltd.,Information Technology,SmallCap,NiftySmallcap250
THELEELA.NS,Leela Palaces Hotels & Resorts Ltd.,Consumer Services,SmallCap,NiftySmallcap250
LEMONTREE.NS,Lemon Tree Hotels Ltd.,Consumer Services,SmallCap,NiftySmallcap250
MMTC.NS,MMTC Ltd.,Services,SmallCap,NiftySmallcap250
MGL.NS,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,SmallCap,NiftySmallcap250
MRPL.NS,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,SmallCap,NiftySmallcap250
MEESHO.NS,Meesho Ltd.,Consumer Services,SmallCap,NiftySmallcap250
MINDACORP.NS,Minda Corporation Ltd.,Automobile and Auto Components,SmallCap,NiftySmallcap250
MSUMI.NS,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,SmallCap,NiftySmallcap250
NATCOPHARM.NS,NATCO Pharma Ltd.,Healthcare,SmallCap,NiftySmallcap250
NBCC.NS,NBCC (India) Ltd.,Construction,SmallCap,NiftySmallcap250
NCC.NS,NCC Ltd.,Construction,SmallCap,NiftySmallcap250
NSLNISP.NS,NMDC Steel Ltd.,Metals & Mining,SmallCap,NiftySmallcap250
NH.NS,Narayana Hrudayalaya Ltd.,Healthcare,SmallCap,NiftySmallcap250
NAVA.NS,Nava Ltd.,Power,SmallCap,NiftySmallcap250
NAVINFLUOR.NS,Navin Fluorine International Ltd.,Chemicals,SmallCap,NiftySmallcap250
NETWEB.NS,Netweb Technologies India Ltd.,Information Technology,SmallCap,NiftySmallcap250
NEULANDLAB.NS,Neuland Laboratories Ltd.,Healthcare,SmallCap,NiftySmallcap250
NEWGEN.NS,Newgen Software Technologies Ltd.,Information Technology,SmallCap,NiftySmallcap250
NIVABUPA.NS,Niva Bupa Health Insurance Company Ltd.,Financial Services,SmallCap,NiftySmallcap250
NUVAMA.NS,Nuvama Wealth Management Ltd.,Financial Services,SmallCap,NiftySmallcap250
NUVOCO.NS,Nuvoco Vistas Corporation Ltd.,Construction Materials,SmallCap,NiftySmallcap250
