Rank,Ticker,Sector,MarketCapCategory,P_Outperform,P_Neutral,P_Underperform,Predicted_Class,Company,Group,Data Date
22,IDFCFIRSTB.NS,Financial Services,MidCap,0.32894082843806993,0.3472801390628995,0.32377903249903206,0,IDFC First Bank,DiversifiedMidcap,2026-08-14
23,VBL.NS,Consumer Goods,LargeCap,0.3289266239005036,0.351559111753852,0.3195142643456464,0,Varun Beverages,NiftyNext50,2026-08-14
24,FEDERALBNK.NS,Financial Services,MidCap,0.3281520069454404,0.3635222038476525,0.30832578920690923,0,Federal Bank,DiversifiedMidcap,2026-08-14
25,GODREJCP.NS,Consumer Goods,LargeCap,0.3265325839860711,0.36583870470917534,0.30762871130475533,0,Godrej Consumer Products,NiftyNext50,2026-08-14
26,LALPATHLAB.NS,Healthcare,MidCap,0.32647241301807195,0.361000983796403,0.3125266031855263,0,Dr. Lal PathLabs,DiversifiedMidcap,2026-08-14
27,IPCALAB.NS,Healthcare,MidCap,0.3249775962328037,0.3674438096438854,0.30757859412331084,0,IPCA Laboratories,DiversifiedMidcap,2026-08-14
28,DELHIVERY.NS,Services,MidCap,0.32261930674516226,0.3716008664687141,0.30577982678612703,0,Delhivery,DiversifiedMidcap,2026-08-14
29,PFC.NS,Financial Services,LargeCap,0.322463196715766,0.35915237057293065,0.31838443271130723,0,Power Finance Corporation,NiftyNext50,2026-08-14
30,COFORGE.NS,Information Technology,MidCap,0.32053456337701225,0.33335681783000976,0.34610861879297916,-1,Coforge,DiversifiedMidcap,2026-08-14
31,LODHA.NS,Real Estate,LargeCap,0.320140636327141,0.330789072962895,0.34907029070996487,-1,Macrotech Developers,NiftyNext50,2026-08-14
32,LICI.NS,Financial Services,LargeCap,0.3191426437630682,0.36298700901311437,0.3178703472238213,0,Life Insurance Corporation of India,NiftyNext50,2026-08-14
33,CHOLAFIN.NS,Financial Services,LargeCap,0.31901681893984096,0.3426948785429156,0.3382883025172442,0,Cholamandalam Investment and Finance,NiftyNext50,2026-08-14
34,ASTRAL.NS,Industrials,MidCap,0.318452789388215,0.352793268623474,0.32875394198831087,0,Astral,DiversifiedMidcap,2026-08-14
35,BHARATFORG.NS,Automobile,MidCap,0.3175050595670228,0.3617356691629962,0.32075927126998266,0,Bharat Forge,DiversifiedMidcap,2026-08-14
36,BAJFINANCE.NS,Financial Services,LargeCap,0.31436869367878834,0.35768478211597726,0.3279465242052367,0,Bajaj Finance,Nifty50Additional,2026-08-14
37,JUBLFOOD.NS,Consumer Services,MidCap,0.3137253462360116,0.3361118212181042,0.3501628325458879,-1,Jubilant FoodWorks,DiversifiedMidcap,2026-08-14
38,IRFC.NS,Financial Services,LargeCap,0.31159768947699884,0.3715064647115716,0.31689584581143126,0,Indian Railway Finance Corporation,NiftyNext50,2026-08-14
39,HINDUNILVR.NS,Consumer Goods,LargeCap,0.30985906852094197,0.37920202488328286,0.3109389065957749,0,Hindustan Unilever,Nifty50Additional,2026-08-14
